ID,Region,Area,Type,Status
MOMO-UAE-041,UAE,Business Bay,Luxury Residential,Verified
MOMO-UK-042,UK,Canary Wharf,Luxury Residential,Verified
MOMO-GER-043,GER,Frankfurt,Luxury Residential,Verified
MOMO-USA-044,USA,"Miami, FL",Industrial Log.,Verified
MOMO-UK-045,UK,Canary Wharf,Industrial Log.,Verified
MOMO-AUS-046,AUS,Perth,A-Grade Office,Verified
MOMO-GER-047,GER,Frankfurt,Luxury Residential,Verified
MOMO-UK-048,UK,Mayfair,Luxury Residential,Verified
MOMO-UAE-049,UAE,Business Bay,Industrial Log.,Verified
MOMO-USA-050,USA,"Manhattan, NY",Industrial Log.,Verified
MOMO-USA-051,USA,"Austin, TX",Industrial Log.,Verified
MOMO-AUS-052,AUS,Sydney,Industrial Log.,Verified
MOMO-GER-053,GER,"Mitte, Berlin",Industrial Log.,Verified
MOMO-AUS-054,AUS,Perth,Industrial Log.,Verified
MOMO-AUS-055,AUS,Sydney,A-Grade Office,Verified
MOMO-UAE-056,UAE,Business Bay,A-Grade Office,Verified
MOMO-UAE-057,UAE,Dubai Hills,Luxury Residential,Verified
MOMO-AUS-058,AUS,Perth,A-Grade Office,Verified
MOMO-AUS-059,AUS,Perth,A-Grade Office,Verified
MOMO-USA-060,USA,"Miami, FL",A-Grade Office,Verified
MOMO-UK-061,UK,Manchester,Luxury Residential,Verified
MOMO-UAE-062,UAE,Dubai Hills,Industrial Log.,Verified
MOMO-USA-063,USA,"Austin, TX",Luxury Residential,Verified
MOMO-UK-064,UK,Mayfair,Industrial Log.,Verified
MOMO-AUS-065,AUS,Melbourne,Industrial Log.,Verified
MOMO-AUS-066,AUS,Perth,Industrial Log.,Verified
MOMO-UK-067,UK,Canary Wharf,A-Grade Office,Verified
MOMO-UK-068,UK,Manchester,Luxury Residential,Verified
MOMO-UK-069,UK,Canary Wharf,A-Grade Office,Verified
MOMO-USA-070,USA,"Miami, FL",Luxury Residential,Verified
MOMO-AUS-071,AUS,Melbourne,A-Grade Office,Verified
MOMO-GER-072,GER,Frankfurt,Luxury Residential,Verified
MOMO-USA-073,USA,"Manhattan, NY",Industrial Log.,Verified
MOMO-USA-074,USA,"Austin, TX",A-Grade Office,Verified
MOMO-UAE-075,UAE,Business Bay,A-Grade Office,Verified
MOMO-USA-076,USA,"Austin, TX",A-Grade Office,Verified
MOMO-USA-077,USA,"Austin, TX",A-Grade Office,Verified
MOMO-UK-078,UK,Canary Wharf,Luxury Residential,Verified
MOMO-AUS-079,AUS,Perth,A-Grade Office,Verified
MOMO-USA-080,USA,"Miami, FL",Industrial Log.,Verified
MOMO-USA-081,USA,"Austin, TX",Luxury Residential,Verified
MOMO-USA-082,USA,"Austin, TX",A-Grade Office,Verified
MOMO-GER-083,GER,Munich,Luxury Residential,Verified
MOMO-AUS-084,AUS,Perth,Luxury Residential,Verified
MOMO-UK-085,UK,Manchester,A-Grade Office,Verified
MOMO-USA-086,USA,"Austin, TX",A-Grade Office,Verified
MOMO-USA-087,USA,"Miami, FL",A-Grade Office,Verified
MOMO-UK-088,UK,Mayfair,Industrial Log.,Verified
MOMO-GER-089,GER,"Mitte, Berlin",Industrial Log.,Verified
MOMO-UAE-090,UAE,Business Bay,Industrial Log.,Verified
MOMO-GER-091,GER,Munich,Luxury Residential,Verified
MOMO-USA-092,USA,"Miami, FL",A-Grade Office,Verified
MOMO-UK-093,UK,Manchester,A-Grade Office,Verified
MOMO-USA-094,USA,"Manhattan, NY",A-Grade Office,Verified
MOMO-AUS-095,AUS,Melbourne,Industrial Log.,Verified
MOMO-USA-096,USA,"Austin, TX",Industrial Log.,Verified
MOMO-GER-097,GER,"Mitte, Berlin",A-Grade Office,Verified
MOMO-UK-098,UK,Canary Wharf,A-Grade Office,Verified
MOMO-UK-099,UK,Canary Wharf,A-Grade Office,Verified
MOMO-USA-100,USA,"Manhattan, NY",Luxury Residential,Verified
MOMO-UAE-101,UAE,Palm Jumeirah,Luxury Residential,Verified
MOMO-GER-102,GER,"Mitte, Berlin",Industrial Log.,Verified
MOMO-UAE-103,UAE,Business Bay,Luxury Residential,Verified
MOMO-USA-104,USA,"Austin, TX",Industrial Log.,Verified
MOMO-AUS-105,AUS,Perth,Luxury Residential,Verified
MOMO-GER-106,GER,"Mitte, Berlin",Luxury Residential,Verified
MOMO-UK-107,UK,Manchester,Luxury Residential,Verified
MOMO-UK-108,UK,Manchester,A-Grade Office,Verified
MOMO-AUS-109,AUS,Melbourne,A-Grade Office,Verified
MOMO-UK-110,UK,Canary Wharf,Luxury Residential,Verified
MOMO-UK-111,UK,Canary Wharf,A-Grade Office,Verified
MOMO-GER-112,GER,"Mitte, Berlin",Luxury Residential,Verified
MOMO-UAE-113,UAE,Business Bay,Luxury Residential,Verified
MOMO-AUS-114,AUS,Sydney,Luxury Residential,Verified
MOMO-AUS-115,AUS,Melbourne,Luxury Residential,Verified
MOMO-GER-116,GER,Munich,A-Grade Office,Verified
MOMO-GER-117,GER,Munich,A-Grade Office,Verified
MOMO-AUS-118,AUS,Perth,Industrial Log.,Verified
MOMO-USA-119,USA,"Miami, FL",Industrial Log.,Verified
MOMO-GER-120,GER,Munich,Industrial Log.,Verified
MOMO-UK-121,UK,Canary Wharf,Luxury Residential,Verified
MOMO-GER-122,GER,Munich,Industrial Log.,Verified
MOMO-USA-123,USA,"Manhattan, NY",Industrial Log.,Verified
MOMO-USA-124,USA,"Miami, FL",Luxury Residential,Verified
MOMO-UAE-125,UAE,Dubai Hills,A-Grade Office,Verified
MOMO-GER-126,GER,"Mitte, Berlin",A-Grade Office,Verified
MOMO-AUS-127,AUS,Melbourne,A-Grade Office,Verified
MOMO-USA-128,USA,"Manhattan, NY",Industrial Log.,Verified
MOMO-GER-129,GER,Frankfurt,A-Grade Office,Verified
MOMO-USA-130,USA,"Manhattan, NY",A-Grade Office,Verified
MOMO-UK-131,UK,Canary Wharf,A-Grade Office,Verified
MOMO-GER-132,GER,Frankfurt,Industrial Log.,Verified
MOMO-USA-133,USA,"Manhattan, NY",Luxury Residential,Verified
MOMO-USA-134,USA,"Manhattan, NY",A-Grade Office,Verified
MOMO-USA-135,USA,"Manhattan, NY",Industrial Log.,Verified
MOMO-USA-136,USA,"Miami, FL",Luxury Residential,Verified
MOMO-USA-137,USA,"Austin, TX",Luxury Residential,Verified
MOMO-UAE-138,UAE,Business Bay,Luxury Residential,Verified
MOMO-UAE-139,UAE,Palm Jumeirah,Luxury Residential,Verified
MOMO-USA-140,USA,"Austin, TX",Industrial Log.,Verified
MOMO-UAE-141,UAE,Business Bay,A-Grade Office,Verified
MOMO-USA-142,USA,"Austin, TX",Industrial Log.,Verified
MOMO-GER-143,GER,Munich,Luxury Residential,Verified
MOMO-UAE-144,UAE,Dubai Hills,A-Grade Office,Verified
MOMO-GER-145,GER,"Mitte, Berlin",A-Grade Office,Verified
MOMO-AUS-146,AUS,Sydney,Luxury Residential,Verified
MOMO-UK-147,UK,Canary Wharf,Industrial Log.,Verified
MOMO-GER-148,GER,Frankfurt,Luxury Residential,Verified
MOMO-UK-149,UK,Canary Wharf,A-Grade Office,Verified
MOMO-UAE-150,UAE,Business Bay,A-Grade Office,Verified
MOMO-AUS-151,AUS,Perth,Luxury Residential,Verified
MOMO-USA-152,USA,"Austin, TX",Industrial Log.,Verified
MOMO-UAE-153,UAE,Dubai Hills,Luxury Residential,Verified
MOMO-AUS-154,AUS,Melbourne,Industrial Log.,Verified
MOMO-AUS-155,AUS,Perth,Industrial Log.,Verified
MOMO-UAE-156,UAE,Palm Jumeirah,Luxury Residential,Verified
MOMO-USA-157,USA,"Manhattan, NY",A-Grade Office,Verified
MOMO-UAE-158,UAE,Business Bay,Industrial Log.,Verified
MOMO-UK-159,UK,Canary Wharf,Industrial Log.,Verified
MOMO-AUS-160,AUS,Melbourne,Luxury Residential,Verified
MOMO-GER-161,GER,Frankfurt,Industrial Log.,Verified
MOMO-GER-162,GER,Frankfurt,Industrial Log.,Verified
MOMO-USA-163,USA,"Manhattan, NY",Luxury Residential,Verified
MOMO-GER-164,GER,Munich,Luxury Residential,Verified
MOMO-USA-165,USA,"Manhattan, NY",Industrial Log.,Verified
MOMO-UK-166,UK,Mayfair,Industrial Log.,Verified
MOMO-GER-167,GER,Munich,Industrial Log.,Verified
MOMO-GER-168,GER,"Mitte, Berlin",Luxury Residential,Verified
MOMO-UAE-169,UAE,Business Bay,Industrial Log.,Verified
MOMO-GER-170,GER,Munich,Industrial Log.,Verified
MOMO-GER-171,GER,Frankfurt,Luxury Residential,Verified
MOMO-UK-172,UK,Canary Wharf,A-Grade Office,Verified
MOMO-USA-173,USA,"Manhattan, NY",Luxury Residential,Verified
MOMO-AUS-174,AUS,Sydney,Industrial Log.,Verified
MOMO-UK-175,UK,Manchester,Luxury Residential,Verified
MOMO-UAE-176,UAE,Dubai Hills,Luxury Residential,Verified
MOMO-UAE-177,UAE,Dubai Hills,A-Grade Office,Verified
MOMO-USA-178,USA,"Miami, FL",A-Grade Office,Verified
MOMO-UK-179,UK,Mayfair,Luxury Residential,Verified
MOMO-UAE-180,UAE,Business Bay,A-Grade Office,Verified
MOMO-UAE-181,UAE,Dubai Hills,A-Grade Office,Verified
MOMO-USA-182,USA,"Miami, FL",Industrial Log.,Verified
MOMO-USA-183,USA,"Manhattan, NY",Luxury Residential,Verified
MOMO-AUS-184,AUS,Melbourne,Industrial Log.,Verified
MOMO-GER-185,GER,Frankfurt,A-Grade Office,Verified
MOMO-AUS-186,AUS,Perth,A-Grade Office,Verified
MOMO-UK-187,UK,Manchester,A-Grade Office,Verified
MOMO-UK-188,UK,Manchester,Industrial Log.,Verified
MOMO-UAE-189,UAE,Business Bay,A-Grade Office,Verified
MOMO-AUS-190,AUS,Sydney,A-Grade Office,Verified
MOMO-GER-191,GER,Munich,Luxury Residential,Verified
MOMO-UK-192,UK,Canary Wharf,Luxury Residential,Verified
MOMO-AUS-193,AUS,Melbourne,A-Grade Office,Verified
MOMO-AUS-194,AUS,Perth,Luxury Residential,Verified
MOMO-USA-195,USA,"Miami, FL",Industrial Log.,Verified
MOMO-UAE-196,UAE,Business Bay,Luxury Residential,Verified
MOMO-UAE-197,UAE,Palm Jumeirah,Industrial Log.,Verified
MOMO-GER-198,GER,Munich,Luxury Residential,Verified
MOMO-AUS-199,AUS,Melbourne,Luxury Residential,Verified
MOMO-USA-200,USA,"Austin, TX",Luxury Residential,Verified
MOMO-USA-201,USA,"Austin, TX",Luxury Residential,Verified
MOMO-UK-202,UK,Mayfair,Industrial Log.,Verified
MOMO-UAE-203,UAE,Dubai Hills,Luxury Residential,Verified
MOMO-UK-204,UK,Manchester,Luxury Residential,Verified
MOMO-UAE-205,UAE,Business Bay,Luxury Residential,Verified
MOMO-USA-206,USA,"Miami, FL",Industrial Log.,Verified
MOMO-UAE-207,UAE,Dubai Hills,Industrial Log.,Verified
MOMO-USA-208,USA,"Austin, TX",Industrial Log.,Verified
MOMO-GER-209,GER,"Mitte, Berlin",Industrial Log.,Verified
MOMO-AUS-210,AUS,Perth,A-Grade Office,Verified
MOMO-UAE-211,UAE,Dubai Hills,Luxury Residential,Verified
MOMO-USA-212,USA,"Manhattan, NY",Luxury Residential,Verified
MOMO-UAE-213,UAE,Dubai Hills,Industrial Log.,Verified
MOMO-UAE-214,UAE,Palm Jumeirah,Luxury Residential,Verified
MOMO-AUS-215,AUS,Sydney,A-Grade Office,Verified
MOMO-UAE-216,UAE,Dubai Hills,Industrial Log.,Verified
MOMO-UAE-217,UAE,Business Bay,Industrial Log.,Verified
MOMO-GER-218,GER,Munich,A-Grade Office,Verified
MOMO-UK-219,UK,Canary Wharf,Luxury Residential,Verified
MOMO-UAE-220,UAE,Dubai Hills,Luxury Residential,Verified
MOMO-UK-221,UK,Mayfair,Luxury Residential,Verified
MOMO-AUS-222,AUS,Perth,Industrial Log.,Verified
MOMO-UAE-223,UAE,Business Bay,A-Grade Office,Verified
MOMO-GER-224,GER,"Mitte, Berlin",A-Grade Office,Verified
MOMO-UAE-225,UAE,Business Bay,Luxury Residential,Verified
MOMO-GER-226,GER,Munich,Industrial Log.,Verified
MOMO-GER-227,GER,"Mitte, Berlin",Industrial Log.,Verified
MOMO-UAE-228,UAE,Dubai Hills,Industrial Log.,Verified
MOMO-UAE-229,UAE,Palm Jumeirah,Industrial Log.,Verified
MOMO-UAE-230,UAE,Dubai Hills,A-Grade Office,Verified
MOMO-UAE-231,UAE,Palm Jumeirah,Industrial Log.,Verified
MOMO-UK-232,UK,Mayfair,Industrial Log.,Verified
MOMO-GER-233,GER,Munich,Industrial Log.,Verified
MOMO-GER-234,GER,Frankfurt,Industrial Log.,Verified
MOMO-GER-235,GER,Munich,A-Grade Office,Verified
MOMO-GER-236,GER,Frankfurt,Luxury Residential,Verified
MOMO-UK-237,UK,Mayfair,A-Grade Office,Verified
MOMO-USA-238,USA,"Manhattan, NY",Luxury Residential,Verified
MOMO-GER-239,GER,Munich,A-Grade Office,Verified
MOMO-GER-240,GER,"Mitte, Berlin",Industrial Log.,Verified
MOMO-USA-241,USA,"Manhattan, NY",Luxury Residential,Verified
MOMO-GER-242,GER,Frankfurt,Industrial Log.,Verified
MOMO-UK-243,UK,Manchester,Industrial Log.,Verified
MOMO-USA-244,USA,"Austin, TX",Industrial Log.,Verified
MOMO-USA-245,USA,"Miami, FL",Industrial Log.,Verified
MOMO-UK-246,UK,Manchester,A-Grade Office,Verified
MOMO-GER-247,GER,Munich,Luxury Residential,Verified
MOMO-USA-248,USA,"Manhattan, NY",A-Grade Office,Verified
MOMO-USA-249,USA,"Miami, FL",Luxury Residential,Verified
MOMO-UK-250,UK,Manchester,Industrial Log.,Verified
MOMO-GER-251,GER,Munich,Luxury Residential,Verified
MOMO-USA-252,USA,"Miami, FL",Industrial Log.,Verified
MOMO-UK-253,UK,Canary Wharf,Industrial Log.,Verified
MOMO-GER-254,GER,Munich,A-Grade Office,Verified
MOMO-UK-255,UK,Manchester,Industrial Log.,Verified
MOMO-UK-256,UK,Canary Wharf,Industrial Log.,Verified
MOMO-USA-257,USA,"Austin, TX",Luxury Residential,Verified
MOMO-UK-258,UK,Mayfair,Luxury Residential,Verified
MOMO-AUS-259,AUS,Melbourne,Industrial Log.,Verified
MOMO-GER-260,GER,Munich,A-Grade Office,Verified
MOMO-UAE-261,UAE,Dubai Hills,Industrial Log.,Verified
MOMO-GER-262,GER,"Mitte, Berlin",Industrial Log.,Verified
MOMO-AUS-263,AUS,Sydney,Industrial Log.,Verified
MOMO-UK-264,UK,Canary Wharf,Luxury Residential,Verified
MOMO-GER-265,GER,"Mitte, Berlin",A-Grade Office,Verified
MOMO-USA-266,USA,"Austin, TX",Luxury Residential,Verified
MOMO-UAE-267,UAE,Dubai Hills,Luxury Residential,Verified
MOMO-USA-268,USA,"Manhattan, NY",Luxury Residential,Verified
MOMO-UAE-269,UAE,Palm Jumeirah,Industrial Log.,Verified
MOMO-AUS-270,AUS,Melbourne,A-Grade Office,Verified
MOMO-UAE-271,UAE,Palm Jumeirah,Luxury Residential,Verified
MOMO-UAE-272,UAE,Palm Jumeirah,Industrial Log.,Verified
MOMO-AUS-273,AUS,Perth,Industrial Log.,Verified
MOMO-AUS-274,AUS,Melbourne,A-Grade Office,Verified
MOMO-UAE-275,UAE,Palm Jumeirah,A-Grade Office,Verified
MOMO-GER-276,GER,Munich,Luxury Residential,Verified
MOMO-USA-277,USA,"Austin, TX",Industrial Log.,Verified
MOMO-GER-278,GER,Munich,A-Grade Office,Verified
MOMO-USA-279,USA,"Manhattan, NY",Industrial Log.,Verified
MOMO-UAE-280,UAE,Palm Jumeirah,A-Grade Office,Verified
MOMO-GER-281,GER,Munich,A-Grade Office,Verified
MOMO-AUS-282,AUS,Sydney,Luxury Residential,Verified
MOMO-GER-283,GER,"Mitte, Berlin",Industrial Log.,Verified
MOMO-AUS-284,AUS,Perth,Luxury Residential,Verified
MOMO-UAE-285,UAE,Dubai Hills,Luxury Residential,Verified
MOMO-UK-286,UK,Manchester,A-Grade Office,Verified
MOMO-USA-287,USA,"Miami, FL",Luxury Residential,Verified
MOMO-USA-288,USA,"Manhattan, NY",Industrial Log.,Verified
MOMO-UAE-289,UAE,Dubai Hills,Industrial Log.,Verified
MOMO-GER-290,GER,Frankfurt,Industrial Log.,Verified
MOMO-AUS-291,AUS,Melbourne,Industrial Log.,Verified
MOMO-UAE-292,UAE,Dubai Hills,A-Grade Office,Verified
MOMO-UAE-293,UAE,Business Bay,A-Grade Office,Verified
MOMO-UAE-294,UAE,Business Bay,Industrial Log.,Verified
MOMO-USA-295,USA,"Miami, FL",Luxury Residential,Verified
MOMO-UK-296,UK,Manchester,A-Grade Office,Verified
MOMO-UAE-297,UAE,Palm Jumeirah,Industrial Log.,Verified
MOMO-AUS-298,AUS,Perth,A-Grade Office,Verified
MOMO-UAE-299,UAE,Business Bay,A-Grade Office,Verified
MOMO-USA-300,USA,"Miami, FL",A-Grade Office,Verified
MOMO-UAE-301,UAE,Dubai Hills,Industrial Log.,Verified
MOMO-GER-302,GER,"Mitte, Berlin",Industrial Log.,Verified
MOMO-GER-303,GER,Frankfurt,Industrial Log.,Verified
MOMO-UAE-304,UAE,Dubai Hills,Industrial Log.,Verified
MOMO-GER-305,GER,Frankfurt,Luxury Residential,Verified
MOMO-UK-306,UK,Manchester,Luxury Residential,Verified
MOMO-USA-307,USA,"Miami, FL",A-Grade Office,Verified
MOMO-UAE-308,UAE,Dubai Hills,A-Grade Office,Verified
MOMO-AUS-309,AUS,Melbourne,Industrial Log.,Verified
MOMO-AUS-310,AUS,Melbourne,Luxury Residential,Verified
MOMO-USA-311,USA,"Miami, FL",A-Grade Office,Verified
MOMO-UK-312,UK,Manchester,Industrial Log.,Verified
MOMO-AUS-313,AUS,Sydney,Luxury Residential,Verified
MOMO-GER-314,GER,Frankfurt,Luxury Residential,Verified
MOMO-UK-315,UK,Canary Wharf,Luxury Residential,Verified
MOMO-UK-316,UK,Mayfair,Industrial Log.,Verified
MOMO-UAE-317,UAE,Dubai Hills,Luxury Residential,Verified
MOMO-UK-318,UK,Manchester,Industrial Log.,Verified
MOMO-USA-319,USA,"Manhattan, NY",Luxury Residential,Verified
MOMO-GER-320,GER,Frankfurt,A-Grade Office,Verified
MOMO-UAE-321,UAE,Business Bay,Industrial Log.,Verified
MOMO-UK-322,UK,Mayfair,Luxury Residential,Verified
MOMO-UK-323,UK,Manchester,A-Grade Office,Verified
MOMO-UK-324,UK,Manchester,Industrial Log.,Verified
MOMO-USA-325,USA,"Manhattan, NY",Luxury Residential,Verified
MOMO-GER-326,GER,Munich,A-Grade Office,Verified
MOMO-USA-327,USA,"Austin, TX",Industrial Log.,Verified
MOMO-UAE-328,UAE,Palm Jumeirah,Luxury Residential,Verified
MOMO-UAE-329,UAE,Dubai Hills,A-Grade Office,Verified
MOMO-GER-330,GER,Frankfurt,Industrial Log.,Verified
MOMO-USA-331,USA,"Austin, TX",A-Grade Office,Verified
MOMO-UK-332,UK,Manchester,Industrial Log.,Verified
MOMO-USA-333,USA,"Miami, FL",Luxury Residential,Verified
MOMO-GER-334,GER,Frankfurt,A-Grade Office,Verified
MOMO-GER-335,GER,"Mitte, Berlin",Luxury Residential,Verified
MOMO-UK-336,UK,Canary Wharf,Luxury Residential,Verified
MOMO-USA-337,USA,"Austin, TX",Luxury Residential,Verified
MOMO-USA-338,USA,"Austin, TX",Industrial Log.,Verified
MOMO-USA-339,USA,"Miami, FL",Luxury Residential,Verified
MOMO-UK-340,UK,Canary Wharf,Industrial Log.,Verified
MOMO-USA-341,USA,"Austin, TX",A-Grade Office,Verified
MOMO-UK-342,UK,Manchester,A-Grade Office,Verified
MOMO-GER-343,GER,"Mitte, Berlin",Industrial Log.,Verified
MOMO-GER-344,GER,Frankfurt,Industrial Log.,Verified
MOMO-UAE-345,UAE,Palm Jumeirah,Industrial Log.,Verified
MOMO-USA-346,USA,"Austin, TX",Luxury Residential,Verified
MOMO-UAE-347,UAE,Business Bay,A-Grade Office,Verified
MOMO-GER-348,GER,Munich,Industrial Log.,Verified
MOMO-UK-349,UK,Canary Wharf,Industrial Log.,Verified
MOMO-USA-350,USA,"Miami, FL",Luxury Residential,Verified
MOMO-GER-351,GER,Munich,Luxury Residential,Verified
MOMO-USA-352,USA,"Miami, FL",A-Grade Office,Verified
MOMO-GER-353,GER,Frankfurt,Industrial Log.,Verified
MOMO-UAE-354,UAE,Dubai Hills,A-Grade Office,Verified
MOMO-USA-355,USA,"Miami, FL",Luxury Residential,Verified
MOMO-AUS-356,AUS,Melbourne,A-Grade Office,Verified
MOMO-GER-357,GER,Frankfurt,A-Grade Office,Verified
MOMO-AUS-358,AUS,Perth,Luxury Residential,Verified
MOMO-UAE-359,UAE,Business Bay,Luxury Residential,Verified
MOMO-AUS-360,AUS,Sydney,Luxury Residential,Verified
MOMO-USA-361,USA,"Manhattan, NY",A-Grade Office,Verified
MOMO-USA-362,USA,"Manhattan, NY",Industrial Log.,Verified
MOMO-UK-363,UK,Mayfair,Luxury Residential,Verified
MOMO-GER-364,GER,Frankfurt,Luxury Residential,Verified
MOMO-UAE-365,UAE,Dubai Hills,Luxury Residential,Verified
MOMO-UK-366,UK,Canary Wharf,Luxury Residential,Verified
MOMO-UAE-367,UAE,Business Bay,A-Grade Office,Verified
MOMO-AUS-368,AUS,Melbourne,Industrial Log.,Verified
MOMO-AUS-369,AUS,Perth,Luxury Residential,Verified
MOMO-AUS-370,AUS,Melbourne,A-Grade Office,Verified
MOMO-UK-371,UK,Canary Wharf,Luxury Residential,Verified
MOMO-UAE-372,UAE,Business Bay,Luxury Residential,Verified
MOMO-UK-373,UK,Manchester,A-Grade Office,Verified
MOMO-AUS-374,AUS,Sydney,Industrial Log.,Verified
MOMO-USA-375,USA,"Miami, FL",Luxury Residential,Verified
MOMO-AUS-376,AUS,Perth,Luxury Residential,Verified
MOMO-UK-377,UK,Manchester,Luxury Residential,Verified
MOMO-UAE-378,UAE,Business Bay,Luxury Residential,Verified
MOMO-AUS-379,AUS,Sydney,A-Grade Office,Verified
MOMO-AUS-380,AUS,Sydney,A-Grade Office,Verified
MOMO-USA-381,USA,"Miami, FL",Luxury Residential,Verified
MOMO-AUS-382,AUS,Sydney,A-Grade Office,Verified
MOMO-AUS-383,AUS,Melbourne,Luxury Residential,Verified
MOMO-GER-384,GER,"Mitte, Berlin",Luxury Residential,Verified
MOMO-AUS-385,AUS,Melbourne,Luxury Residential,Verified
MOMO-USA-386,USA,"Manhattan, NY",A-Grade Office,Verified
MOMO-USA-387,USA,"Miami, FL",Industrial Log.,Verified
MOMO-AUS-388,AUS,Sydney,Luxury Residential,Verified
MOMO-AUS-389,AUS,Perth,Industrial Log.,Verified
MOMO-USA-390,USA,"Miami, FL",A-Grade Office,Verified
MOMO-USA-391,USA,"Miami, FL",A-Grade Office,Verified
MOMO-UK-392,UK,Canary Wharf,A-Grade Office,Verified
MOMO-AUS-393,AUS,Sydney,Luxury Residential,Verified
MOMO-UK-394,UK,Canary Wharf,Industrial Log.,Verified
MOMO-GER-395,GER,Munich,A-Grade Office,Verified
MOMO-GER-396,GER,Munich,Industrial Log.,Verified
MOMO-UK-397,UK,Manchester,A-Grade Office,Verified
MOMO-AUS-398,AUS,Sydney,Luxury Residential,Verified
MOMO-UK-399,UK,Mayfair,Industrial Log.,Verified
MOMO-GER-400,GER,Munich,Luxury Residential,Verified
MOMO-USA-401,USA,"Manhattan, NY",Industrial Log.,Verified
MOMO-UAE-402,UAE,Palm Jumeirah,A-Grade Office,Verified
MOMO-UAE-403,UAE,Business Bay,A-Grade Office,Verified
MOMO-GER-404,GER,Frankfurt,A-Grade Office,Verified
MOMO-UAE-405,UAE,Business Bay,A-Grade Office,Verified
MOMO-UK-406,UK,Manchester,Industrial Log.,Verified
MOMO-UK-407,UK,Manchester,Industrial Log.,Verified
MOMO-UK-408,UK,Canary Wharf,Industrial Log.,Verified
MOMO-UAE-409,UAE,Dubai Hills,Industrial Log.,Verified
MOMO-AUS-410,AUS,Melbourne,Luxury Residential,Verified
MOMO-UK-411,UK,Mayfair,Luxury Residential,Verified
MOMO-USA-412,USA,"Manhattan, NY",A-Grade Office,Verified
MOMO-UAE-413,UAE,Business Bay,Luxury Residential,Verified
MOMO-UAE-414,UAE,Palm Jumeirah,Industrial Log.,Verified
MOMO-AUS-415,AUS,Perth,A-Grade Office,Verified
MOMO-GER-416,GER,"Mitte, Berlin",A-Grade Office,Verified
MOMO-GER-417,GER,Munich,Luxury Residential,Verified
MOMO-GER-418,GER,Munich,Industrial Log.,Verified
MOMO-GER-419,GER,"Mitte, Berlin",A-Grade Office,Verified
MOMO-UK-420,UK,Canary Wharf,Industrial Log.,Verified
MOMO-UAE-421,UAE,Palm Jumeirah,Industrial Log.,Verified
MOMO-UK-422,UK,Canary Wharf,Industrial Log.,Verified
MOMO-USA-423,USA,"Austin, TX",Industrial Log.,Verified
MOMO-AUS-424,AUS,Perth,A-Grade Office,Verified
MOMO-GER-425,GER,"Mitte, Berlin",Industrial Log.,Verified
MOMO-UK-426,UK,Manchester,A-Grade Office,Verified
